Category,ID,Latitude,Longitude,Date,DAYMET_Tile,DAYMET_003_prcp
endingPoint,02,42.7092,-71.6966,2017-04-06,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-07,11935,25.0
endingPoint,02,42.7092,-71.6966,2017-04-08,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-10,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-12,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-13,11935,6.0
endingPoint,02,42.7092,-71.6966,2017-04-14,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-15,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-19,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-20,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-04-21,11935,9.0
endingPoint,02,42.7092,-71.6966,2017-04-22,11935,10.0
endingPoint,02,42.7092,-71.6966,2017-04-23,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-04-24,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-25,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-26,11935,27.0
endingPoint,02,42.7092,-71.6966,2017-04-27,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-04-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-04-30,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-01,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-05-02,11935,19.0
endingPoint,02,42.7092,-71.6966,2017-05-03,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-05-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-05,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-06,11935,32.0
endingPoint,02,42.7092,-71.6966,2017-05-07,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-05-08,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-05-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-10,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-12,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-13,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-14,11935,26.0
endingPoint,02,42.7092,-71.6966,2017-05-15,11935,8.0
endingPoint,02,42.7092,-71.6966,2017-05-16,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-05-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-19,11935,6.0
endingPoint,02,42.7092,-71.6966,2017-05-20,11935,0.0
